bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
72;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
73;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
74;1;18.76;5.35;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
75;1;3.6;1.03;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
76;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
77;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
78;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
79;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
80;1;1.48;0.42;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
81;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;6;1.10000;0.90000;
82;1;7.6;2.17;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
83;1;3.14;0.89;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
84;1;3.75;1.07;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
85;1;4.83;1.38;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
86;1;8.25;2.35;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
87;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;3;1.10000;0.90000;
88;1;49.34;14.06;0.0;0.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
89;1;62.85;17.91;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
90;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
91;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
92;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
93;1;3.06;0.87;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
94;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
95;1;3.0;0.85;0.0;30.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
96;1;2.96;0.84;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
97;1;7.33;2.09;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
98;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;2;1.10000;0.90000;
99;1;12.17;3.47;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
100;1;37.39;10.66;0.0;80.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
101;1;0.52;0.15;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
102;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
103;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
104;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
105;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
106;1;2.06;0.59;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
107;1;52.56;14.98;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
108;1;9.42;2.68;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
109;1;5.16;1.47;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
110;1;10.86;3.09;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
111;1;8.82;2.51;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
112;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
113;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
114;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
115;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
116;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;2;1.10000;0.90000;
117;1;34.08;9.71;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
118;1;3.94;1.12;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
119;1;17.55;5.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
120;1;1.8;0.51;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
121;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
122;1;15.44;4.4;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
123;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;2;1.10000;0.90000;
124;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
125;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
126;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
127;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
128;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
129;1;77.24;22.01;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
130;1;4.4;1.25;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
131;1;30.25;8.62;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
132;1;26.96;7.68;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
133;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;2;1.10000;0.90000;
134;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
135;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
136;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;2;1.10000;0.90000;
137;1;1.16;0.33;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
138;1;2.09;0.6;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
139;1;6.84;1.95;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
140;1;8.21;2.34;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
141;1;1.42;0.41;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
142;1;37.26;10.62;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
143;1;26.78;7.63;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
144;1;9.05;2.58;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
145;1;17.54;5.0;0.0;0.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
146;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
147;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
148;1;32.02;9.13;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
149;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;3;1.10000;0.90000;
150;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
151;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;3;1.10000;0.90000;
152;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;3;1.10000;0.90000;
153;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;3;1.10000;0.90000;
154;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;3;1.10000;0.90000;
155;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;3;1.10000;0.90000;
156;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;2;1.10000;0.90000;
157;1;14.76;4.21;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
158;1;8.97;2.56;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
159;1;1.39;0.4;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
160;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
161;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
162;1;1.45;0.41;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
163;1;45.8;13.05;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
164;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
165;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
166;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
167;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
168;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
169;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
170;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;5;1.10000;0.90000;
171;1;7.94;2.26;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
172;1;5.38;1.53;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
173;1;8.71;2.48;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
174;1;2.77;0.79;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
175;1;7.31;2.08;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
176;1;19.01;5.42;0.0;0.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
177;1;11.29;3.22;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
178;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;5;1.10000;0.90000;
179;1;23.61;6.73;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
180;1;7.74;2.21;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
181;1;47.98;13.67;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
182;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
183;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
184;1;10.69;3.05;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
185;1;10.79;3.07;0.0;0.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
186;1;2.1;0.6;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
187;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
188;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
189;3;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;7;1.10000;0.90000;
190;1;16.79;4.78;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
191;1;7.23;2.06;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
192;1;52.74;15.03;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
193;1;21.99;6.27;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
194;1;37.57;10.71;0.0;50.0;1;1.00000;0.00000;115.0;3;1.10000;0.90000;
195;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
196;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
197;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
198;1;5.37;1.53;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
199;1;4.26;1.21;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
200;1;9.34;2.66;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
